Change Physical Footprint: Designator=C65 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C66 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C67 Old Footprint=CAPD6.3XL5.8X61M New Footprint=CAPD6.3XL5.8X61M
Change Physical Footprint: Designator=C68 Old Footprint=CAPC0805X14N New Footprint=CAPC0805X14N
Change Physical Footprint: Designator=C69 Old Footprint=CAPC0805X14N New Footprint=CAPC0805X14N
Change Physical Footprint: Designator=C70 Old Footprint=CAPD6.3XL5.8X61M New Footprint=CAPD6.3XL5.8X61M
Change Physical Footprint: Designator=C71 Old Footprint=CAPD6.3XL5.8X61M New Footprint=CAPD6.3XL5.8X61M
Change Physical Footprint: Designator=C72 Old Footprint=CAPD6.3XL5.8X61M New Footprint=CAPD6.3XL5.8X61M
Change Physical Footprint: Designator=C73 Old Footprint=CAPD6.3XL5.8X61M New Footprint=CAPD6.3XL5.8X61M
Change Physical Footprint: Designator=C74 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C75 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C76 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C77 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C78 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C79 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C80 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C81 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C82 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C83 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C84 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C85 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C86 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C87 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C88 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C89 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C90 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C91 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C92 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C93 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C94 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C95 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C96 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C97 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C98 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C99 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C100 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C101 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C102 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C103 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C104 Old Footprint=CAPD6.3XL6.3X77M New Footprint=CAPD6.3XL6.3X77M
Change Physical Footprint: Designator=C105 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C106 Old Footprint=CAPC0603X8N New Footprint=CAPC0603X8N
Change Physical Footprint: Designator=C107 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
Change Physical Footprint: Designator=C108 Old Footprint=CAP0805X13N New Footprint=CAP0805X13N
Change Physical Footprint: Designator=C109 Old Footprint=CAPC1206X18N New Footprint=CAPC1206X18N
