Altium Designer Pick and Place Locations
C:\Users\kavin\Desktop\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB(Fabrication Variant).txt

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       18:59
Revision:   001faec4ccd30f65ce1fd190df22033bef97a918
Variant:    Fabrication Variant
Units used: mil

Designator Comment              Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                              
SW3        PB_SW                TopLayer SW_PB_2                      2151.024      2322.834      90       "C49393629, R4A25211L, 1.8N 12V 50mA Gull Wing Rectangular Button SPST-NO Surface Mount,Vertical White SMD Pushbutton Switches ROHS"                                                                                                                                                     
SW2        PB_SW                TopLayer SW_PB_2                      1836.063      2322.834      90       "C49393629, R4A25211L, 1.8N 12V 50mA Gull Wing Rectangular Button SPST-NO Surface Mount,Vertical White SMD Pushbutton Switches ROHS"                                                                                                                                                     
SW1        PB_SW                TopLayer SW_PB_2                      1521.102      2322.834      90       "C49393629, R4A25211L, 1.8N 12V 50mA Gull Wing Rectangular Button SPST-NO Surface Mount,Vertical White SMD Pushbutton Switches ROHS"                                                                                                                                                     
SD2        SCHDIOSMB_1A         TopLayer SD_SMB_1A                    2316.929      375.984       270      "C86598, STPS160U, 1 Independent 1A 4uA@60V 60V 670mV@1A 75A SMB Schottky Diodes ROHS"                                                                                                                                                                                                   
SD1        SCHDIOSMB_1A         TopLayer SD_SMB_1A                    2230.236      985.591       0        "C86598, STPS160U, 1 Independent 1A 4uA@60V 60V 670mV@1A 75A SMB Schottky Diodes ROHS"                                                                                                                                                                                                   
R48        100k                 TopLayer RECS0603X45N                 4642.000      1719.000      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R47        39K                  TopLayer RECS0603X45N                 4550.000      1511.000      0        "C163424, RC0603FR-0739KL, -55?~+155? 100mW 39kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R46        100k                 TopLayer RECS0603X45N                 4710.000      1719.000      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R45        51K                  TopLayer RECS0603X45N                 4643.000      1552.000      90       "C107231, RC0603FR-0751KL, -55?~+155? 100mW 51kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R44        100k                 TopLayer RECS0603X45N                 4774.000      1913.000      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R43        "68 ohm"             TopLayer RECS0603X45N                 4034.449      339.567       0        "C861523, RT0603BRD0768RL, -55?~+155? 100mW 68O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R42        39K                  TopLayer RECS0603X45N                 3236.220      837.599       0        "C163424, RC0603FR-0739KL, -55?~+155? 100mW 39kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R41        100k                 TopLayer RECS0603X45N                 3265.748      1073.819      270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R40        51K                  TopLayer RECS0603X45N                 3325.787      876.969       90       "C107231, RC0603FR-0751KL, -55?~+155? 100mW 51kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R39        100k                 TopLayer RECS0603X45N                 3514.764      1318.898      180      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R38        "68 ohm"             TopLayer RECS0603X45N                 4027.559      179.134       0        "C861523, RT0603BRD0768RL, -55?~+155? 100mW 68O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
